iter	Logloss
0	0.6896387022
1	0.6849481384
2	0.6817472145
3	0.6787921305
4	0.67468679
5	0.671799954
6	0.6692068379
7	0.6666150003
8	0.664081014
9	0.661469769
10	0.6591566264
11	0.65596928
12	0.6539855666
13	0.650509441
14	0.6485357056
15	0.646005101
16	0.6439081864
17	0.6418370791
18	0.6399344205
19	0.6372118284
20	0.6355848972
21	0.6335709288
22	0.6318372441
23	0.6304826091
24	0.6291456594
25	0.6276280747
26	0.6261916677
27	0.6249376848
28	0.6234683756
29	0.6219799725
30	0.6207279618
31	0.6197026287
32	0.6185522174
33	0.6174265231
34	0.6149900841
35	0.6137929894
36	0.6129451034
37	0.6117402799
38	0.6106616728
39	0.6095121315
40	0.6086230204
41	0.6073276947
42	0.6063853677
43	0.6055414676
44	0.6048061732
45	0.6042277534
46	0.6030338572
47	0.6008542424
48	0.6000261415
49	0.5991635879
50	0.5980630618
51	0.5962850908
52	0.5956040271
53	0.5939344839
54	0.5921163726
55	0.590148741
56	0.5892932825
57	0.5883123282
58	0.5876791536
59	0.5860024248
60	0.585259903
61	0.5837594447
62	0.5829448718
63	0.5819000274
64	0.5813722651
65	0.5798283655
66	0.5791909982
67	0.5785850455
68	0.5773382556
69	0.5764586154
70	0.5754936291
71	0.5750295372
72	0.5745829379
73	0.5738394412
74	0.5735118174
75	0.5730485038
76	0.5726348663
77	0.5722528803
78	0.5717586487
79	0.5712611433
80	0.5708352765
81	0.5697483241
82	0.569336157
83	0.5689491371
84	0.5683893692
85	0.5675119804
86	0.5668130332
87	0.5660036098
88	0.564771358
89	0.5641126417
90	0.5623823667
91	0.5620015555
92	0.5615870434
93	0.5607818794
94	0.5596462964
95	0.5592452866
96	0.5585113902
97	0.5577475567
98	0.55675754
99	0.5565015423
100	0.5559178138
101	0.5557000534
102	0.5549381727
103	0.5546578241
104	0.5543341054
105	0.5536269576
106	0.5521187172
107	0.5516556961
108	0.5510369189
109	0.5507678291
110	0.5500066191
111	0.5487439506
112	0.5483952233
113	0.547650513
114	0.547345885
115	0.5470393647
116	0.5468035395
117	0.544907013
118	0.5446468077
119	0.544172211
120	0.5438744746
121	0.543408443
122	0.5430469973
123	0.5425427935
124	0.5419473077
125	0.5417394486
126	0.541437888
127	0.5396302164
128	0.5391467615
129	0.537615805
130	0.5366078741
131	0.5363038123
132	0.5357193996
133	0.534500109
134	0.5334018032
135	0.5331498361
136	0.5320569853
137	0.5318082322
138	0.529486202
139	0.5291469525
140	0.528972671
141	0.5285965562
142	0.5278221234
143	0.527533042
144	0.5270395602
145	0.5268063261
146	0.525774555
147	0.5255157086
148	0.5253180904
149	0.5250656647
150	0.5242127838
151	0.5237676898
152	0.5235675999
153	0.5232610457
154	0.5225762116
155	0.5222804092
156	0.5216019524
157	0.5213963951
158	0.5212316546
159	0.5205958055
160	0.5204212878
161	0.5200075677
162	0.5196172805
163	0.5189926561
164	0.5186719972
165	0.5179727846
166	0.5178451909
167	0.5176868453
168	0.5168782357
169	0.5167287596
170	0.5161307437
171	0.5158969523
172	0.5156840218
173	0.515324715
174	0.5143807446
175	0.5141334805
176	0.5134956103
177	0.5130926673
178	0.5129499621
179	0.5123302938
180	0.5116790525
181	0.5114186292
182	0.5109719197
183	0.5106555566
184	0.5104255054
185	0.5102493002
186	0.5096906663
187	0.508864196
188	0.5084461011
189	0.5081397535
190	0.5076086545
191	0.5071514365
192	0.5069670259
193	0.5068044237
194	0.5060144544
195	0.505832825
196	0.5056687617
197	0.505426379
198	0.5053066709
199	0.5049110546
200	0.5047208829
201	0.5043986109
202	0.5042516783
203	0.5038716803
204	0.5037564849
205	0.5036422679
206	0.5035164647
207	0.5032395058
208	0.5028242363
209	0.5027118635
210	0.5025472097
211	0.5024102358
212	0.5019553903
213	0.5015772055
214	0.5008435565
215	0.5007084473
216	0.5006157705
217	0.5004424792
218	0.4998824735
219	0.4993499229
220	0.4981186516
221	0.4974902185
222	0.4972554346
223	0.4970935219
224	0.4969160405
225	0.4966345147
226	0.4964227579
227	0.4960882104
228	0.495638352
229	0.4953269459
230	0.495194453
