iter	Logloss
231	0.4948391653
232	0.4946454069
233	0.4945000395
234	0.4943582485
235	0.4934506332
236	0.4933638061
237	0.493214943
238	0.4927429954
239	0.4925695689
240	0.4916717537
241	0.4915219179
242	0.4912907693
243	0.4907230803
244	0.4899239843
245	0.4897719235
246	0.4896211054
247	0.4894814941
248	0.4890704411
249	0.4889830462
250	0.4887206925
251	0.4885222905
252	0.4883425036
253	0.4880681323
254	0.4878000869
255	0.4872960503
256	0.4872230209
257	0.4870474159
258	0.4865642378
259	0.486198545
260	0.4860217126
261	0.4858604634
262	0.4849779422
263	0.4847270145
264	0.4842072095
265	0.4835485556
266	0.4834671691
267	0.4823484817
268	0.4819584305
269	0.4815821974
270	0.4813324181
271	0.480727376
272	0.4802443196
273	0.4801294442
274	0.4800288888
275	0.4799240169
276	0.4798414467
277	0.4796271361
278	0.4790392253
279	0.4781916051
280	0.4778391254
281	0.477778136
282	0.4775982172
283	0.4773943929
284	0.4771646717
285	0.4770619253
286	0.4768285039
287	0.4766368459
288	0.4765046379
289	0.4761527352
290	0.4759804072
291	0.4755445754
292	0.4754607355
293	0.4752612232
294	0.4748688184
295	0.4747065036
296	0.4743077041
297	0.4741311503
298	0.4739324279
299	0.473769575
300	0.4737190216
301	0.4730251278
302	0.4728749416
303	0.472479168
304	0.4723442929
305	0.4722424667
306	0.472147384
307	0.4719486197
308	0.4718410484
309	0.4717457742
310	0.4715565892
311	0.4710838204
312	0.4709557826
313	0.4706615921
314	0.470548959
315	0.4701887839
316	0.4691216387
317	0.4687437091
318	0.4682732158
319	0.4680275304
320	0.467701463
321	0.4676327964
322	0.4671567262
323	0.4669037972
324	0.4667795519
325	0.4664557424
326	0.4657030225
327	0.4655006002
328	0.4650828121
329	0.4647442487
330	0.4645957697
331	0.4644988646
332	0.4640684168
333	0.4638840076
334	0.4637436918
335	0.4633963902
336	0.4630560152
337	0.4628231159
338	0.4627343915
339	0.4626046202
340	0.4624851308
341	0.4622635909
342	0.4620875112
343	0.4618566721
344	0.4616692688
345	0.4615080905
346	0.4613795475
347	0.4611179096
348	0.4610064018
349	0.4608302664
350	0.4604478294
351	0.4601166171
352	0.4599631318
353	0.4597384206
354	0.4595574278
355	0.4594386207
356	0.459316313
357	0.4588693808
358	0.4585858961
359	0.4583281952
360	0.4582165772
361	0.4580859078
362	0.4579086395
363	0.4577956897
364	0.4576369921
365	0.4573869472
366	0.4571866775
367	0.4570610814
368	0.4568637295
369	0.4566992794
370	0.4562480878
371	0.4559507702
372	0.4557465315
373	0.4555768437
374	0.4551501223
375	0.4550161408
376	0.4549245328
377	0.4548128461
378	0.4543810648
379	0.4542104303
380	0.4539723093
381	0.4534893887
382	0.453386989
383	0.4530135286
384	0.4526339959
385	0.4525761822
386	0.4522376598
387	0.4521607838
388	0.4520069168
389	0.4515193608
390	0.4511797463
391	0.4506229688
392	0.4503693404
393	0.4498315816
394	0.4497369146
395	0.4496162851
396	0.4492921979
397	0.4492019757
398	0.4489174739
399	0.4487651296
400	0.4485478307
401	0.4484788421
402	0.4481723079
403	0.4477430377
404	0.4473547897
405	0.447194365
406	0.4470509708
407	0.4468912492
408	0.4467814287
409	0.4466020521
410	0.4462227242
411	0.4455723842
412	0.4446898886
413	0.4444410376
414	0.4443325507
415	0.4442325184
416	0.4440181003
417	0.4438955185
418	0.4438518981
419	0.4430881518
420	0.4428009358
421	0.4426919679
422	0.4425974903
423	0.4424445586
424	0.4423868722
425	0.4421483387
426	0.4419423595
427	0.4418314606
428	0.4415478466
429	0.4412944833
430	0.4409161192
431	0.4405815259
432	0.4405467195
433	0.4402679749
434	0.4401243403
435	0.4400566359
436	0.4396278365
437	0.4395423124
438	0.4394811616
439	0.4393322248
440	0.4388881289
441	0.4388077284
442	0.4386452228
443	0.4385761692
444	0.4385475336
445	0.4381906018
446	0.4380325418
447	0.4377942632
448	0.4376904809
449	0.4373671598
450	0.4371218236
451	0.4368773572
452	0.4367989415
453	0.4366118185
454	0.4365034498
455	0.4363229431
456	0.4362897512
457	0.4362079305
458	0.4356804943
459	0.4356145071
460	0.4352185178
461	0.4347817552
462	0.433910299
463	0.4334689728
464	0.4332994651
465	0.433255541
466	0.4330295318
467	0.4329008993
468	0.432676359
469	0.4325462882
470	0.4324108889
471	0.432328155
472	0.4321609767
473	0.4320836041
474	0.4316456809
475	0.4314772689
476	0.431229932
477	0.4308675942
478	0.4306812459
479	0.4306382329
480	0.4305761278
481	0.4305309137
482	0.4299738355
483	0.4299102929
484	0.4295822944
485	0.4292618445
486	0.4292030611
487	0.4286591001
488	0.4284539286
489	0.4282669105
490	0.4282291673
491	0.4279892004
492	0.4279175033
493	0.4277696725
494	0.4275079666
495	0.4273395258
496	0.42729298
497	0.4268614934
498	0.426676437
499	0.4264586861
500	0.4262527282
501	0.4262193549
502	0.4258644471
503	0.4257487346
504	0.4257042407
505	0.4255244817
506	0.4254547412
507	0.4254140328
508	0.4250175974
509	0.4247594385
510	0.4247164955
511	0.4244742945
512	0.4240103729
513	0.4235722552
514	0.4229018754
515	0.4228206041
516	0.4224358321
517	0.4223793302
518	0.4223420793
519	0.42200317
520	0.4219722799
521	0.421603787
522	0.4213988045
523	0.4210288682
524	0.4208413845
525	0.4205236502
526	0.4204838058
527	0.4204395767
528	0.4201674421
529	0.4197589493
530	0.4193371001
531	0.4189376102
532	0.4185903458
533	0.4181820637
534	0.4178713697
535	0.4175522534
536	0.417525093
537	0.4172379934
538	0.4169146333
539	0.4165973418
540	0.4165661371
541	0.4165391894
542	0.4161441257
543	0.4158516586
544	0.4157913163
545	0.4154054244
546	0.4150799284
547	0.4150494765
548	0.4144576982
549	0.4141315784
550	0.4136987362
551	0.4136338248
552	0.4133777895
553	0.4132208304
554	0.4131972192
555	0.4129951511
556	0.4126476893
557	0.412432465
558	0.4121359305
559	0.4119293696
560	0.411518749
561	0.4114869843
562	0.4111933515
563	0.4111646473
564	0.4107872183
565	0.410757248
566	0.4103763599
567	0.4102497236
568	0.4097023946
569	0.4091300686
570	0.4088425637
571	0.4084754204
572	0.408124054
573	0.4080986739
574	0.4078026875
575	0.4076805951
576	0.4075537128
577	0.4075231432
578	0.4072059872
579	0.4069050585
580	0.4067593475
581	0.4066778544
582	0.4063576614
583	0.4062682837
584	0.4061992969
585	0.4059764638
586	0.4058719198
587	0.405576912
588	0.4054255158
589	0.405041378
590	0.4048612146
591	0.4044734384
592	0.4042493076
593	0.4041710241
594	0.4041429766
595	0.4039516941
596	0.4038385044
597	0.4035784392
598	0.4030606557
599	0.402998131
